file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,300,150,14,205747,302647,3761,0,14,707.957342544696
input-data-passengers-06,150,150,15,207291,251593,3647,0,15,638.695248066989
input-data-passengers-06,180,150,15,207332,260948,3707,0,15,647.17721837491
input-data-passengers-06,210,150,15,207194,270369,3728,0,15,669.264339303241
input-data-passengers-06,240,150,15,207347,279856,3833,0,15,647.474177854617
input-data-passengers-06,270,150,15,207057,287507,3695,0,15,687.175600901809
input-data-passengers-06,300,150,15,207334,296681,3859,0,15,615.219935788712
input-data-passengers-06,150,150,16,206274,251709,3648,0,16,731.216943071895
input-data-passengers-06,180,150,16,206415,261149,3753,0,16,636.781054540505
input-data-passengers-06,210,150,16,206031,270238,3614,0,16,627.888939792795
input-data-passengers-06,240,150,16,206158,279772,3694,0,16,601.225976996806
input-data-passengers-06,270,150,16,206054,287331,3763,0,16,688.362723472879
input-data-passengers-06,300,150,16,205422,296453,3765,0,16,678.785675710425
input-data-passengers-06,150,150,17,206114,251497,3788,0,17,655.651298993188
input-data-passengers-06,180,150,17,206185,260997,3702,0,17,673.716404445804
input-data-passengers-06,210,150,17,207077,270695,3841,0,17,705.260476532768
input-data-passengers-06,240,150,17,206174,279892,3623,0,17,673.118985769389
input-data-passengers-06,270,150,17,206114,287531,3764,0,17,602.259354587261
input-data-passengers-06,300,150,17,206922,296919,3689,0,17,636.279449782189
input-data-passengers-06,150,150,18,206240,251568,3754,0,18,642.540241088442
input-data-passengers-06,180,150,18,205980,260942,3646,0,18,727.213340373511
input-data-passengers-06,210,150,18,207538,270679,3673,0,18,619.512908843855
input-data-passengers-06,240,150,18,206497,279976,3767,0,18,630.886818619844
input-data-passengers-06,270,150,18,206296,287603,3731,0,18,587.442766270301
input-data-passengers-06,300,150,18,207282,297000,3695,0,18,656.036291043953
input-data-passengers-06,150,150,19,205784,251367,3663,0,19,660.83448387019
input-data-passengers-06,180,150,19,207571,261124,3751,0,19,639.359742711441
input-data-passengers-06,210,150,19,205910,270265,3653,0,19,640.81424671841
input-data-passengers-06,240,150,19,205367,279689,3710,0,19,620.976214115377
input-data-passengers-06,270,150,19,205543,287225,3718,0,19,639.573156453363
input-data-passengers-06,300,150,19,205661,296500,3818,0,19,689.613212738489
input-data-passengers-06,150,150,20,206710,251483,3752,0,20,670.122105163962
input-data-passengers-06,180,150,20,207198,260950,3713,0,20,640.877973595351
input-data-passengers-06,210,150,20,206280,270321,3719,0,20,638.748175805806
input-data-passengers-06,240,150,20,206740,279863,3709,0,20,675.165612315441
input-data-passengers-06,270,150,20,207408,287539,3689,0,20,659.901318800037
input-data-passengers-06,300,150,20,206998,296920,3636,0,20,664.130693791342
input-data-passengers-06,150,180,1,46308,323748,1982,0,1,2087.46220796151
input-data-passengers-06,180,180,1,46308,333263,2022,0,1,2052.45560102481
input-data-passengers-06,210,180,1,46308,342760,1906,0,1,1337.01610953072
input-data-passengers-06,240,180,1,46308,352271,1980,0,1,1262.14080532859
input-data-passengers-06,270,180,1,46308,361783,1970,0,1,1755.46483863206
input-data-passengers-06,300,180,1,46308,371294,1912,0,1,2305.99523332837
input-data-passengers-06,150,180,2,89400,320179,2004,0,2,1861.08723913904
input-data-passengers-06,180,180,2,89400,329516,2007,0,2,1267.5119388269
input-data-passengers-06,210,180,2,89400,338847,1982,0,2,1103.25992048481
input-data-passengers-06,240,180,2,89400,348174,2016,0,2,1441.15337466238
input-data-passengers-06,270,180,2,89400,357547,2020,0,2,1510.70016804718
input-data-passengers-06,300,180,2,89400,366906,1948,0,2,1858.21850775594
input-data-passengers-06,150,180,3,126340,353230,2196,0,3,1688.72977595738
input-data-passengers-06,180,180,3,126340,363610,2246,0,3,1070.06068056678
